route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,route_fare_class,line_id,listed_route,network_id
16,1,16,Forest Hills Station - Andrew Station or Harbor Point,Local Bus,3,https://www.mbta.com/schedules/16,FFC72C,000000,50160,Local Bus,line-16,,local_bus
17,1,17,Fields Corner Station - Andrew Station,Local Bus,3,https://www.mbta.com/schedules/17,FFC72C,000000,50170,Local Bus,line-1719,,local_bus
18,1,18,Ashmont Station - Andrew Station,Local Bus,3,https://www.mbta.com/schedules/18,FFC72C,000000,50180,Free,line-18,,local_bus_free
19,1,19,Fields Corner Station - Kenmore or Ruggles Station,Local Bus,3,https://www.mbta.com/schedules/19,FFC72C,000000,50190,Local Bus,line-1719,,local_bus
21,1,21,Ashmont Station - Forest Hills Station,Local Bus,3,https://www.mbta.com/schedules/21,FFC72C,000000,50210,Local Bus,line-21,,local_bus
22,1,22,Ashmont Station - Ruggles Station via Talbot Ave,Key Bus,3,https://www.mbta.com/schedules/22,FFC72C,000000,50220,Local Bus,line-22,,local_bus
23,1,23,Ashmont Station - Ruggles Station via Washington Street,Key Bus,3,https://www.mbta.com/schedules/23,FFC72C,000000,50230,Free,line-23,,local_bus_free
24,1,24,Wakefield Avenue & Truman Parkway - Ashmont Station,Local Bus,3,https://www.mbta.com/schedules/24,FFC72C,000000,50240,Local Bus,line-242733,,local_bus
26,1,26,Ashmont Station - Norfolk Street Loop,Local Bus,3,https://www.mbta.com/schedules/26,FFC72C,000000,50260,Local Bus,line-26,,local_bus
28,1,28,Mattapan Station - Ruggles Station,Key Bus,3,https://www.mbta.com/schedules/28,FFC72C,000000,50280,Free,line-28,,local_bus_free
29,1,29,Mattapan Station - Jackson Square Station,Local Bus,3,https://www.mbta.com/schedules/29,FFC72C,000000,50290,Free,line-29,,local_bus_free
30,1,30,Mattapan Station - Forest Hills Station via Cummins Highway and Roslindale Square,Local Bus,3,https://www.mbta.com/schedules/30,FFC72C,000000,50300,Local Bus,line-30,,local_bus
31,1,31,Mattapan Station - Forest Hills Station via Morton Street,Local Bus,3,https://www.mbta.com/schedules/31,FFC72C,000000,50310,Local Bus,line-31,,local_bus
32,1,32,Wolcott or Cleary Square - Forest Hills Station,Key Bus,3,https://www.mbta.com/schedules/32,FFC72C,000000,50320,Local Bus,line-32,,local_bus
3233,1,32/33,River Street & Milton Street - Mattapan Station,Supplemental Bus,3,,FFC72C,000000,50321,Local Bus,line-242733,1,local_bus
33,1,33,River Street & Milton Street - Mattapan Station,Local Bus,3,https://www.mbta.com/schedules/33,FFC72C,000000,50330,Local Bus,line-242733,,local_bus
34,1,34,Dedham Square - Forest Hills Station,Local Bus,3,https://www.mbta.com/schedules/34,FFC72C,000000,50340,Local Bus,line-3434E,,local_bus
34E,1,34E,Walpole Center - Forest Hills Station,Local Bus,3,https://www.mbta.com/schedules/34E,FFC72C,000000,50341,Local Bus,line-3434E,,local_bus
35,1,35,Dedham Mall or Stimson Street - Forest Hills Station,Local Bus,3,https://www.mbta.com/schedules/35,FFC72C,000000,50350,Local Bus,line-35,,local_bus
36,1,36,Millennium Park or VA Hospital - Forest Hills Station,Local Bus,3,https://www.mbta.com/schedules/36,FFC72C,000000,50360,Local Bus,line-36,,local_bus
37,1,37,Baker Street & Vermont Street - Forest Hills Station,Local Bus,3,https://www.mbta.com/schedules/37,FFC72C,000000,50370,Local Bus,line-37,,local_bus
38,1,38,Wren Street - Forest Hills Station,Local Bus,3,https://www.mbta.com/schedules/38,FFC72C,000000,50380,Local Bus,line-38,,local_bus
39,1,39,Forest Hills Station - Back Bay Station,Key Bus,3,https://www.mbta.com/schedules/39,FFC72C,000000,50390,Local Bus,line-39,,local_bus
40,1,40,Georgetowne - Forest Hills Station,Local Bus,3,https://www.mbta.com/schedules/40,FFC72C,000000,50400,Local Bus,line-4050,,local_bus
4050,1,40/50,Georgetowne - Forest Hills Station,Local Bus,3,,FFC72C,000000,50401,Local Bus,line-4050,1,local_bus
41,1,41,Centre Street & Eliot Street - JFK/UMass Station,Local Bus,3,https://www.mbta.com/schedules/41,FFC72C,000000,50410,Local Bus,line-41,,local_bus
42,1,42,Forest Hills Station - Nubian Station,Local Bus,3,https://www.mbta.com/schedules/42,FFC72C,000000,50420,Local Bus,line-42,,local_bus
43,1,43,Ruggles Station - Park Street Station,Local Bus,3,https://www.mbta.com/schedules/43,FFC72C,000000,50430,Local Bus,line-43,,local_bus
44,1,44,Jackson Square Station - Ruggles Station,Local Bus,3,https://www.mbta.com/schedules/44,FFC72C,000000,50440,Local Bus,line-44,,local_bus
45,1,45,Franklin Park - Ruggles Station,Local Bus,3,https://www.mbta.com/schedules/45,FFC72C,000000,50450,Local Bus,line-45,,local_bus
47,1,47,"Central Square, Cambridge - Broadway Station",Local Bus,3,https://www.mbta.com/schedules/47,FFC72C,000000,50470,Local Bus,line-47,,local_bus
50,1,50,Cleary Square - Forest Hills Station,Local Bus,3,https://www.mbta.com/schedules/50,FFC72C,000000,50500,Local Bus,line-4050,,local_bus
51,1,51,Reservoir Station - Forest Hills Station,Local Bus,3,https://www.mbta.com/schedules/51,FFC72C,000000,50510,Local Bus,line-51,,local_bus
52,1,52,Dedham Mall - Watertown Yard,Local Bus,3,https://www.mbta.com/schedules/52,FFC72C,000000,50520,Local Bus,line-5259,,local_bus
55,1,55,Fenway - Copley Square,Local Bus,3,https://www.mbta.com/schedules/55,FFC72C,000000,50550,Local Bus,line-55,,local_bus
57,1,57,Watertown Yard - Kenmore Station,Key Bus,3,https://www.mbta.com/schedules/57,FFC72C,000000,50570,Local Bus,line-5757A,,local_bus
59,1,59,Needham Junction - Watertown Square,Local Bus,3,https://www.mbta.com/schedules/59,FFC72C,000000,50590,Local Bus,line-5259,,local_bus
60,1,60,Chestnut Hill - Kenmore Station,Local Bus,3,https://www.mbta.com/schedules/60,FFC72C,000000,50600,Local Bus,line-6065,,local_bus
61,1,61,North Waltham - Waltham Center,Local Bus,3,https://www.mbta.com/schedules/61,FFC72C,000000,50610,Local Bus,line-6170170,,local_bus
62,1,62,Bedford VA Hospital - Alewife Station,Local Bus,3,https://www.mbta.com/schedules/62,FFC72C,000000,50620,Local Bus,line-6276,,local_bus
627,1,62/76,Bedford VA Hospital - Alewife Station via Hanscom Airport,Local Bus,3,,FFC72C,000000,50621,Local Bus,line-6276,,local_bus
64,1,64,Oak Square - University Park or Kendall/MIT Station,Local Bus,3,https://www.mbta.com/schedules/64,FFC72C,000000,50640,Local Bus,line-6468,,local_bus
65,1,65,Brighton Center - Kenmore Station,Local Bus,3,https://www.mbta.com/schedules/65,FFC72C,000000,50650,Local Bus,line-6065,,local_bus
66,1,66,Harvard Square - Nubian Station,Key Bus,3,https://www.mbta.com/schedules/66,FFC72C,000000,50660,Local Bus,line-66,,local_bus
67,1,67,Turkey Hill - Alewife Station,Local Bus,3,https://www.mbta.com/schedules/67,FFC72C,000000,50670,Local Bus,line-6779,,local_bus
68,1,68,Harvard Square - Kendall/MIT Station,Local Bus,3,https://www.mbta.com/schedules/68,FFC72C,000000,50680,Local Bus,line-6468,,local_bus
69,1,69,Harvard Square - Lechmere Station,Local Bus,3,https://www.mbta.com/schedules/69,FFC72C,000000,50690,Local Bus,line-69,,local_bus
70,1,70,Market Place Drive or Waltham Center - University Park,Local Bus,3,https://www.mbta.com/schedules/70,FFC72C,000000,50700,Local Bus,line-6170170,,local_bus
71,1,71,Watertown Square - Harvard Station,Key Bus,3,https://www.mbta.com/schedules/71,FFC72C,000000,50710,Local Bus,line-71,,local_bus
73,1,73,Waverley Square - Harvard Station,Key Bus,3,https://www.mbta.com/schedules/73,FFC72C,000000,50730,Local Bus,line-73,,local_bus
74,1,74,Belmont Center - Harvard via Concord Avenue,Local Bus,3,https://www.mbta.com/schedules/74,FFC72C,000000,50740,Local Bus,line-727475,,local_bus
75,1,75,Belmont Center - Harvard via Huron Avenue,Local Bus,3,https://www.mbta.com/schedules/75,FFC72C,000000,50750,Local Bus,line-727475,,local_bus
76,1,76,Lincoln Lab - Alewife Station,Local Bus,3,https://www.mbta.com/schedules/76,FFC72C,000000,50760,Local Bus,line-6276,,local_bus
77,1,77,Arlington Heights - Harvard Station,Key Bus,3,https://www.mbta.com/schedules/77,FFC72C,000000,50770,Local Bus,line-77,,local_bus
78,1,78,Arlmont Village - Harvard Station,Local Bus,3,https://www.mbta.com/schedules/78,FFC72C,000000,50780,Local Bus,line-7884,,local_bus
80,1,80,Arlington Center - Lechmere Station,Local Bus,3,https://www.mbta.com/schedules/80,FFC72C,000000,50800,Local Bus,line-80,,local_bus
83,1,83,"Rindge Avenue - Central Square, Cambridge",Local Bus,3,https://www.mbta.com/schedules/83,FFC72C,000000,50830,Local Bus,line-83,,local_bus
85,1,85,Spring Hill - Kendall/MIT Station,Local Bus,3,https://www.mbta.com/schedules/85,FFC72C,000000,50850,Local Bus,line-85,,local_bus
86,1,86,Sullivan Square Station - Reservoir Station,Local Bus,3,https://www.mbta.com/schedules/86,FFC72C,000000,50860,Local Bus,line-86,,local_bus
87,1,87,Clarendon Hill or Arlington Center - Lechmere Station,Local Bus,3,https://www.mbta.com/schedules/87,FFC72C,000000,50870,Local Bus,line-87,,local_bus
88,1,88,Clarendon Hill - Lechmere Station,Local Bus,3,https://www.mbta.com/schedules/88,FFC72C,000000,50880,Local Bus,line-88,,local_bus
89,1,89,Clarendon Hill or Davis Station - Sullivan Square Station,Local Bus,3,https://www.mbta.com/schedules/89,FFC72C,000000,50890,Local Bus,line-89,,local_bus
8993,1,89/93,Clarendon Hill - Haymarket Station,Supplemental Bus,3,,FFC72C,000000,50891,Local Bus,line-89,1,local_bus
90,1,90,Davis Station - Assembly Row,Local Bus,3,https://www.mbta.com/schedules/90,FFC72C,000000,50900,Local Bus,line-90,,local_bus
91,1,91,"Sullivan Square Station - Central Square, Cambridge",Local Bus,3,https://www.mbta.com/schedules/91,FFC72C,000000,50910,Local Bus,line-91,,local_bus
92,1,92,Sullivan Square Station - Downtown via Main Street,Local Bus,3,https://www.mbta.com/schedules/92,FFC72C,000000,50920,Local Bus,line-92,,local_bus
93,1,93,Sullivan Square Station - Downtown via Bunker Hill Street,Local Bus,3,https://www.mbta.com/schedules/93,FFC72C,000000,50930,Local Bus,line-93,,local_bus
94,1,94,Medford Square - Davis Station,Local Bus,3,https://www.mbta.com/schedules/94,FFC72C,000000,50940,Local Bus,line-94,,local_bus
95,1,95,West Medford or Arlington Center - Sullivan Square Station,Local Bus,3,https://www.mbta.com/schedules/95,FFC72C,000000,50950,Local Bus,line-95,,local_bus
96,1,96,Medford Square - Harvard Station,Local Bus,3,https://www.mbta.com/schedules/96,FFC72C,000000,50960,Local Bus,line-96,,local_bus
97,1,97,Malden Center Station - Wellington Station,Local Bus,3,https://www.mbta.com/schedules/97,FFC72C,000000,50970,Local Bus,line-97,,local_bus
99,1,99,Woodland Road - Wellington Station,Local Bus,3,https://www.mbta.com/schedules/99,FFC72C,000000,50990,Local Bus,line-99,,local_bus
100,1,100,Elm Street - Wellington Station,Local Bus,3,https://www.mbta.com/schedules/100,FFC72C,000000,51000,Local Bus,line-100,,local_bus
101,1,101,Malden Center Station - Sullivan Square Station via Winter Hill,Local Bus,3,https://www.mbta.com/schedules/101,FFC72C,000000,51010,Local Bus,line-101,,local_bus
104,1,104,Malden Center Station - Sullivan Square Station via Ferry Street,Local Bus,3,https://www.mbta.com/schedules/104,FFC72C,000000,51040,Local Bus,line-104109,,local_bus
105,1,105,Malden Center Station - Sullivan Square Station via Newland Street Housing,Local Bus,3,https://www.mbta.com/schedules/105,FFC72C,000000,51050,Local Bus,line-105,,local_bus
106,1,106,Lebanon Loop - Wellington Station,Local Bus,3,https://www.mbta.com/schedules/106,FFC72C,000000,51060,Local Bus,line-106,,local_bus
108,1,108,Linden Square - Wellington Station,Local Bus,3,https://www.mbta.com/schedules/108,FFC72C,000000,51080,Local Bus,line-108,,local_bus
109,1,109,Linden Square - Sullivan Square Station,Local Bus,3,https://www.mbta.com/schedules/109,FFC72C,000000,51090,Local Bus,line-104109,,local_bus
110,1,110,Wonderland Station - Wellington Station,Local Bus,3,https://www.mbta.com/schedules/110,FFC72C,000000,51100,Local Bus,line-110,,local_bus
111,1,111,Woodlawn - Haymarket Station,Key Bus,3,https://www.mbta.com/schedules/111,FFC72C,000000,51110,Local Bus,line-111,,local_bus
112,1,112,Wellington Station - Wood Island Station,Local Bus,3,https://www.mbta.com/schedules/112,FFC72C,000000,51120,Local Bus,line-112,,local_bus
114,1,114,Market Basket - Maverick Station,Community Bus,3,https://www.mbta.com/schedules/114,FFC72C,000000,51140,Local Bus,line-114116117,,local_bus
116,1,116,Wonderland Station - Maverick Station via Revere Street,Key Bus,3,https://www.mbta.com/schedules/116,FFC72C,000000,51160,Local Bus,line-114116117,,local_bus
117,1,117,Wonderland Station - Maverick Station via Beach Street,Key Bus,3,https://www.mbta.com/schedules/117,FFC72C,000000,51170,Local Bus,line-114116117,,local_bus
119,1,119,Northgate Shopping Center - Beachmont Station,Local Bus,3,https://www.mbta.com/schedules/119,FFC72C,000000,51190,Local Bus,line-119,,local_bus
120,1,120,Orient Heights Station - Jeffries Point,Local Bus,3,https://www.mbta.com/schedules/120,FFC72C,000000,51200,Local Bus,line-120121,,local_bus
121,1,121,Wood Island Station - Maverick Station,Commuter Bus,3,https://www.mbta.com/schedules/121,FFC72C,000000,51210,Local Bus,line-120121,,local_bus
131,1,131,Melrose Highlands - Oak Grove or Malden Center Station,Commuter Bus,3,https://www.mbta.com/schedules/131,FFC72C,000000,51310,Local Bus,line-131132,,local_bus
132,1,132,Redstone Shopping Center - Malden Center Station,Local Bus,3,https://www.mbta.com/schedules/132,FFC72C,000000,51320,Local Bus,line-131132,,local_bus
134,1,134,North Woburn - Wellington Station,Local Bus,3,https://www.mbta.com/schedules/134,FFC72C,000000,51340,Local Bus,line-134,,local_bus
137,1,137,Reading Depot - Malden Center Station,Local Bus,3,https://www.mbta.com/schedules/137,FFC72C,000000,51370,Free,line-136137,,local_bus_free
171,1,171,Logan Airport Terminals - Nubian Station,Supplemental Bus,3,https://www.mbta.com/schedules/171,FFC72C,000000,51710,Local Bus,line-171708,,local_bus
195,1,195,Lemuel Shattuck Hospital - Park Street & Tremont Street,Supplemental Bus,3,https://www.mbta.com/schedules/195,FFC72C,000000,51950,Local Bus,line-195,1,local_bus
201,1,201,Fields Corner Loop via Neponset Ave,Local Bus,3,https://www.mbta.com/schedules/201,FFC72C,000000,52010,Local Bus,line-201202,,local_bus
202,1,202,Fields Corner Loop via Adams Street,Local Bus,3,https://www.mbta.com/schedules/202,FFC72C,000000,52020,Local Bus,line-201202,,local_bus
210,1,210,Quincy Center Station - Fields Corner Station,Local Bus,3,https://www.mbta.com/schedules/210,FFC72C,000000,52100,Local Bus,line-210211212,,local_bus
211,1,211,Quincy Center Station - Squantum,Local Bus,3,https://www.mbta.com/schedules/211,FFC72C,000000,52110,Local Bus,line-210211212,,local_bus
215,1,215,Quincy Center Station - Ashmont Station via West Quincy,Local Bus,3,https://www.mbta.com/schedules/215,FFC72C,000000,52150,Local Bus,line-215,,local_bus
216,1,216,Houghs Neck - Quincy Center Station via Germantown,Local Bus,3,https://www.mbta.com/schedules/216,FFC72C,000000,52160,Local Bus,line-214216,,local_bus
217,1,217,Quincy Center Station - Ashmont Station via Wollaston Station,Commuter Bus,3,https://www.mbta.com/schedules/217,FFC72C,000000,52170,Local Bus,line-217245,,local_bus
220,1,220,Hingham Depot - Quincy Center Station,Local Bus,3,https://www.mbta.com/schedules/220,FFC72C,000000,52200,Local Bus,line-220221222,,local_bus
222,1,222,East Weymouth - Quincy Center Station,Local Bus,3,https://www.mbta.com/schedules/222,FFC72C,000000,52220,Local Bus,line-220221222,,local_bus
225,1,225,Weymouth Landing - Quincy Center Station,Local Bus,3,https://www.mbta.com/schedules/225,FFC72C,000000,52250,Local Bus,line-225226,,local_bus
226,1,226,Columbian Square - Braintree Station,Local Bus,3,https://www.mbta.com/schedules/226,FFC72C,000000,52260,Local Bus,line-225226,,local_bus
230,1,230,Montello Station - Quincy Center Station,Local Bus,3,https://www.mbta.com/schedules/230,FFC72C,000000,52300,Local Bus,line-230,,local_bus
236,1,236,South Shore Plaza - Quincy Center Station,Local Bus,3,https://www.mbta.com/schedules/236,FFC72C,000000,52360,Local Bus,line-236,,local_bus
238,1,238,Holbrook/Randolph Station - Quincy Center Station,Local Bus,3,https://www.mbta.com/schedules/238,FFC72C,000000,52380,Local Bus,line-238,,local_bus
240,1,240,Avon Square - Ashmont Station,Local Bus,3,https://www.mbta.com/schedules/240,FFC72C,000000,52400,Local Bus,line-240,,local_bus
245,1,245,Quincy Center Station - Mattapan Station,Local Bus,3,https://www.mbta.com/schedules/245,FFC72C,000000,52450,Local Bus,line-217245,,local_bus
350,1,350,North Burlington - Alewife Station,Local Bus,3,https://www.mbta.com/schedules/350,FFC72C,000000,53500,Local Bus,line-350351,,local_bus
351,1,351,Bedford Woods Drive - Third Avenue,Commuter Bus,3,https://www.mbta.com/schedules/351,FFC72C,000000,53510,Local Bus,line-350351,,local_bus
354,1,354,"North Burlington - State Street, Boston",Commuter Bus,3,https://www.mbta.com/schedules/354,FFC72C,000000,53540,Inner Express,line-354,,express_bus
411,1,411,Kennedy Drive or Jack Satter House - Malden Center Station,Local Bus,3,https://www.mbta.com/schedules/411,FFC72C,000000,54110,Local Bus,line-411430,,local_bus
424,1,424,Eastern Avenue & Essex Street - Wonderland Station,Commuter Bus,3,https://www.mbta.com/schedules/424,FFC72C,000000,54240,Local Bus,line-424450456,,local_bus
426,1,426,"Central Square, Lynn - Haymarket or Wonderland Station",Local Bus,3,https://www.mbta.com/schedules/426,FFC72C,000000,54260,Inner Express,line-426428,,express_bus
428,1,428,Oaklandvale - Haymarket Station,Commuter Bus,3,https://www.mbta.com/schedules/428,FFC72C,000000,54280,Inner Express,line-426428,,express_bus
429,1,429,"Northgate Shopping Center - Central Square, Lynn",Local Bus,3,https://www.mbta.com/schedules/429,FFC72C,000000,54290,Local Bus,line-429,,local_bus
430,1,430,Saugus Center - Malden Center Station,Local Bus,3,https://www.mbta.com/schedules/430,FFC72C,000000,54300,Local Bus,line-411430,,local_bus
435,1,435,"Liberty Tree Mall - Central Square, Lynn via Peabody Square",Local Bus,3,https://www.mbta.com/schedules/435,FFC72C,000000,54350,Local Bus,line-434435436,,local_bus
436,1,436,"Liberty Tree Mall - Central Square, Lynn via Goodwin Circle",Local Bus,3,https://www.mbta.com/schedules/436,FFC72C,000000,54360,Local Bus,line-434435436,,local_bus
439,1,439,Nahant - Wonderland Station,Commuter Bus,3,https://www.mbta.com/schedules/439,FFC72C,000000,54390,Local Bus,line-439441442,,local_bus
441,1,441,Marblehead - Wonderland Station via Paradise Road,Local Bus,3,https://www.mbta.com/schedules/441,FFC72C,000000,54410,Local Bus,line-439441442,,local_bus
441442,1,441/442,Marblehead - Wonderland Station,Local Bus,3,,FFC72C,000000,54411,Local Bus,line-439441442,1,local_bus
442,1,442,Marblehead - Wonderland Station via Humphrey Street,Local Bus,3,https://www.mbta.com/schedules/442,FFC72C,000000,54420,Local Bus,line-439441442,,local_bus
450,1,450,Salem Depot - Wonderland or Haymarket Station,Local Bus,3,https://www.mbta.com/schedules/450,FFC72C,000000,54500,Inner Express,line-424450456,,express_bus
451,1,451,North Beverly Station - Salem Depot,Commuter Bus,3,https://www.mbta.com/schedules/451,FFC72C,000000,54510,Local Bus,line-451465,,local_bus
455,1,455,Salem Depot - Wonderland Station,Local Bus,3,https://www.mbta.com/schedules/455,FFC72C,000000,54550,Local Bus,line-455,,local_bus
456,1,456,"Salem Depot - Central Square, Lynn",Local Bus,3,https://www.mbta.com/schedules/456,FFC72C,000000,54560,Local Bus,line-424450456,,local_bus
501,1,501,Brighton Center - Federal Street & Franklin Street,Commuter Bus,3,https://www.mbta.com/schedules/501,FFC72C,000000,55010,Inner Express,line-501503,,express_bus_special
504,1,504,Watertown Yard - Federal Street & Franklin Street,Commuter Bus,3,https://www.mbta.com/schedules/504,FFC72C,000000,55040,Inner Express,line-502504,,express_bus_special
505,1,505,Waltham Center - Federal Street & Franklin Street,Commuter Bus,3,https://www.mbta.com/schedules/505,FFC72C,000000,55050,Inner Express,line-505553554,,express_bus_special
